Complex Questions for the prototype,Follow-up Qeustions
Can you give advice on what to do in case of domestic violence? ,
What is the definition of labour exploitation? ,
How to get a BSN number? ,
Where can I find a shelter depending on the day of the week?,
My first asylum request was rejected, what can I do now?
What are the steps of an asylum process in the Netherlands?,
Can I get food in Rotterdam on a Thursday evening?,
Why is abortion allowed in Netherlands?,
I have lost contact with my family. ,
My children are born in the Netherlands, can they get a Dutch passport?
My employer makes me work 20 days without a day off. What should I do?,
What if I can not afford to go to the dentist?,
